number	bepoch	bini	binlabel	codelabel	duration	enable	flag	item	latency	type	epoch
47.000000	47.000000	1.000000	B1(190)	""	0.000000	1.000000	0.000000	7.000000	25351.000000	B1(190)	47.000000
48.000000	48.000000	4.000000	B4(118)	""	0.000000	1.000000	0.000000	8.000000	25901.000000	B4(118)	48.000000
49.000000	49.000000	3.000000	B3(134)	""	0.000000	1.000000	0.000000	9.000000	26451.000000	B3(134)	49.000000
50.000000	50.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	10.000000	27001.000000	B4(114)	50.000000
51.000000	51.000000	1.000000	B1(194)	""	0.000000	1.000000	0.000000	11.000000	27551.000000	B1(194)	51.000000
52.000000	52.000000	4.000000	B4(112)	""	0.000000	1.000000	0.000000	12.000000	28101.000000	B4(112)	52.000000
53.000000	53.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	13.000000	28651.000000	B4(114)	53.000000
54.000000	54.000000	1.000000	B1(190)	""	0.000000	1.000000	0.000000	14.000000	29201.000000	B1(190)	54.000000
55.000000	55.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	15.000000	29751.000000	B4(114)	55.000000
56.000000	56.000000	3.000000	B3(134)	""	0.000000	1.000000	0.000000	16.000000	30301.000000	B3(134)	56.000000
57.000000	57.000000	2.000000	B2(176)	""	0.000000	1.000000	0.000000	17.000000	30851.000000	B2(176)	57.000000
58.000000	58.000000	3.000000	B3(136)	""	0.000000	1.000000	0.000000	18.000000	31401.000000	B3(136)	58.000000
59.000000	59.000000	3.000000	B3(134)	""	0.000000	1.000000	0.000000	19.000000	31951.000000	B3(134)	59.000000
60.000000	60.000000	2.000000	B2(176)	""	0.000000	1.000000	0.000000	20.000000	32501.000000	B2(176)	60.000000
61.000000	61.000000	2.000000	B2(178)	""	0.000000	1.000000	0.000000	21.000000	33051.000000	B2(178)	61.000000
62.000000	62.000000	1.000000	B1(190)	""	0.000000	1.000000	0.000000	22.000000	33601.000000	B1(190)	62.000000
63.000000	63.000000	2.000000	B2(170)	""	0.000000	1.000000	0.000000	23.000000	34151.000000	B2(170)	63.000000
64.000000	64.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	24.000000	34701.000000	B4(114)	64.000000
65.000000	65.000000	3.000000	B3(134)	""	0.000000	1.000000	0.000000	25.000000	35251.000000	B3(134)	65.000000
66.000000	66.000000	4.000000	B4(112)	""	0.000000	1.000000	0.000000	26.000000	35801.000000	B4(112)	66.000000
67.000000	67.000000	3.000000	B3(134)	""	0.000000	1.000000	0.000000	27.000000	36351.000000	B3(134)	67.000000
68.000000	68.000000	3.000000	B3(132)	""	0.000000	1.000000	0.000000	28.000000	36901.000000	B3(132)	68.000000
69.000000	69.000000	4.000000	B4(116)	""	0.000000	1.000000	0.000000	29.000000	37451.000000	B4(116)	69.000000
70.000000	70.000000	1.000000	B1(190)	""	0.000000	1.000000	0.000000	30.000000	38001.000000	B1(190)	70.000000
71.000000	71.000000	2.000000	B2(170)	""	0.000000	1.000000	0.000000	31.000000	38551.000000	B2(170)	71.000000
72.000000	72.000000	2.000000	B2(170)	""	0.000000	1.000000	0.000000	32.000000	39101.000000	B2(170)	72.000000
73.000000	73.000000	3.000000	B3(132)	""	0.000000	1.000000	0.000000	33.000000	39651.000000	B3(132)	73.000000
74.000000	74.000000	3.000000	B3(136)	""	0.000000	1.000000	0.000000	34.000000	40201.000000	B3(136)	74.000000
75.000000	75.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	35.000000	40751.000000	B4(114)	75.000000
76.000000	76.000000	2.000000	B2(176)	""	0.000000	1.000000	0.000000	36.000000	41301.000000	B2(176)	76.000000
77.000000	77.000000	1.000000	B1(190)	""	0.000000	1.000000	0.000000	37.000000	41851.000000	B1(190)	77.000000
78.000000	78.000000	4.000000	B4(118)	""	0.000000	1.000000	0.000000	38.000000	42401.000000	B4(118)	78.000000
